,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
0,Accounting,PRPHDACCOU1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDACCOU1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1028
1,Accounting and Finance,PTMSCACFIN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACFIN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£28,200', 'Rest of UK': '£28,200', 'International/EU': '£37,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",416
2,Acoustics and Music Technology,PTMSCACMUT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACMUT1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",478
3,Advanced Care ,PRPHDADVCA1F,PhD with Integrated Study,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDADVCA1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1048
4,Advanced Chemical Engineering,PTMSCADVCE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVCE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",913
5,Advanced Clinical Practice (Online Learning),PTMVSADVCP1U,"MVetSci, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMVSADVCP1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,910
6,Advanced Nursing,PTMSCADVNU1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVNU1F,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",419
7,Advanced Nursing (Online Learning),PTMSCADVNU4P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADVNU4P,Health in Social Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£7,600', 'Additional Programme Costs': ''}",1049
8,Advanced Power Engineering,PTMSCADPOE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADPOE1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£11,400', 'Rest of UK': '£11,400', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",960
9,Advanced Social Work Studies (Mental Health Officer Award),No Program Code,PgCert,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=634,Social & Political Science,"Arts, Humanities & Social Sciences",Not applicable,634
10,Advanced Sustainable Design,PTMSCASDEC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCASDEC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",417
11,Advanced Technology for Financial Computing,PTMSCADTFC1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCADTFC1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",992
12,Africa and International Development,PTMSCAFRID1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAFRID1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",622
13,African Studies,PRPHDAFRST1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDAFRST1F,Social & Political Science,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",319
14,Agriculture and Food Security ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDAGFOS1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",957
15,Algebra,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST1F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",509
16,American History,PTMSCAMHIS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAMHIS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",139
17,Analysis,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST2F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",510
18,Analytical Chemistry,PTMSCANCHE1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCANCHE1F,Chemistry,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£35,900', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1004
19,Anatomical Sciences (Biomedical Sciences),No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDANASC1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",990
20,Anatomical Sciences (Online Learning),PTPGDANASC1U,"PgDip (ICL), PgCert (ICL), PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGDANASC1U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,890
21,Ancient History,PTMSCANHIS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCANHIS1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",917
22,Ancient Worlds (Archaeology and Classics) (Online Learning),PTMSCAWSAC2U,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAWSAC2U,"History, Classics & Archaeology","Arts, Humanities & Social Sciences",Not applicable,986
23,Animal Breeding and Genetics,PTMSCANBGE1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCANBGE1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",763
24,Applied and Computational Mathematics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMATST3F,Mathematics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",511
25,Applied Animal Behaviour and Animal Welfare,PTMSCAABAW1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAABAW1F,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£12,500', 'Rest of UK': '£12,500', 'International/EU': '£24,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",238
26,Applied Conservation Genetics with Wildlife Forensics (Online Learning),PTMSCACGWF1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACGWF1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,954
27,Applied Environmental Hydrogeology,PTMSCAPENH1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAPENH1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1032
28,Applied Linguistics,PTMSCAPLIN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAPLIN1F,"Philosophy, Psychology & Language Sciences","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",280
29,Applied Medical Image Analysis (Online Learning),PTPGCAPMIA1U,"PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTPGCAPMIA1U,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,Not applicable,964
30,Applied Poultry Science (Online Learning),PTMSCAPPOS1U,"MSc, PgDip (ICL), PgCert (ICL), PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAPPOS1U,Royal (Dick) School of Veterinary Studies,Medicine & Veterinary Medicine,Not applicable,963
31,Applied Psychology (Healthcare) For Children and Young People,No Program Code,MSc,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=129,Health in Social Science,"Arts, Humanities & Social Sciences",Not applicable,129
32,Archaeology,PTMSCARCHA1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCARCHA1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",34
33,Archaeology,PRPHDARCHA1F,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDARCHA1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",53
34,Archaeology,PRMSCARCHA1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCARCHA1F,"History, Classics & Archaeology","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",864
35,Architectural and Urban Design,PTMSCARCUR1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCARCUR1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£28,200', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",636
36,Architectural Conservation,PTMSCARCON1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCARCON1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£14,100', 'Rest of UK': '£14,100', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",746
37,Architectural History,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDARCHS1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",978
38,Architecture,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDARCTC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",54
39,Architecture,PRMSCARCTC1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCARCTC1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",375
40,Architecture by Design,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDARCDS1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",868
41,"Architecture, Landscape and Environment ",No Program Code,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCACLDE1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences",Not applicable,1096
42,"Architecture, Master of (ARB/RIBA Part 2)",PTMARMARCH2F,MArch ARB Pt 2,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMARMARCH2F,Edinburgh College of Art,"Arts, Humanities & Social Sciences",Not applicable,420
43,Art,No Program Code,"PhD, MPhil",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDARTXX1F,Edinburgh College of Art,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",751
44,Artificial Intelligence,PTMSCAINTL1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCAINTL1F,Informatics,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£17,100', 'Rest of UK': '£17,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",107
45,Astrobiology and Planetary Sciences,No Program Code,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCASTPS1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£25,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1097
46,Astrophysics,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDASTRO1F,Physics & Astronomy,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",189
47,Atmospheric and Environmental Sciences,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDECORM1F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£1,000'}",95
48,Banking Innovation and Risk Analytics ,No Program Code,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBINRA1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£20,400', 'Rest of UK': '£20,400', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",756
49,Biblical Studies,PTMTHBIBST1F,"MTh, MSc",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMTHBIBST1F,Divinity,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",57
50,Biochemistry,PTMSCBIOCH1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBIOCH1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",856
51,Biodiversity and Taxonomy of Plants,PTMSCBITXP1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBITXP1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1
52,"Biodiversity, Wildlife and Ecosystem Health (Online Learning)",PTMSCBIOWE1U,"MSc, PgDip (ICL), PgCert (ICL), PgCert, PgDip, PgProfDev",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBIOWE1U,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,Not applicable,646
53,Bioengineering,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSRBIOEN1P,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£5,200', 'Rest of UK': '£5,200', 'International/EU': '£16,650', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",873
54,Bioinformatics,PTMSCBIOIN1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBIOIN1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",2
55,Biological Sciences,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDBIOLS2F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1079
56,Biological Sciences (with Internship),No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDBIOLS1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1078
57,Biomedical Sciences (Based in China),No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDBIOMS1F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': 'International/EU fees have still to be agreed', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",1038
58,Biomedical Sciences (Life Sciences),PRMSCMEDMI6F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCMEDMI6F,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",244
59,Biotechnology,PTMSCBIOTE1F,"MSc, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBIOTE1F,Biological Sciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£19,100', 'Rest of UK': '£19,100', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",676
60,"Business Administration, Master of",PTMBABUSAD5F,MBA,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMBABUSAD5F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£38,500', 'Rest of UK': '£38,500', 'International/EU': '£38,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",267
61,"Business Administration, Master of (Online Learning)",No Program Code,MBA,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMBABUSAD7P,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,470', 'Rest of UK': '£10,470', 'International/EU': '£10,470', 'Online Distance Learning': '£10,470', 'Additional Programme Costs': ''}",1076
62,Business Analytics,PTMSCBUSAN1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCBUSAN1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£20,400', 'Rest of UK': '£20,400', 'International/EU': '£29,500', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",929
63,Business Economics ,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDBUSEC1F,Business School,"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1083
64,Cancer (Edinburgh Cancer Research Centre),No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCECRC1F,"Edinburgh Medical School: Molecular, Genetic & Population Health Sciences",Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",237
65,Cancer Biology and Precision Oncology (Online Learning),PTMSCCBPON1P,"MSc, PgCert, PgDip",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCBPON1P,Edinburgh Medical School: Biomedical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': '£0'}",1073
66,Carbon Management,PTMSCCARMA2F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCARMA2F,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£16,100', 'Rest of UK': '£16,100', 'International/EU': '£32,000', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",412
67,Carbon Management (Online Learning),PTMSCCARMA5P,MSc,Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCCARMA5P,GeoSciences,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'N/A', 'Rest of UK': 'N/A', 'International/EU': 'N/A', 'Online Distance Learning': '£6,370', 'Additional Programme Costs': ''}",899
68,Cardiovascular Biology,PRMSCCARDB1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCARDB1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': '£4,000'}",205
69,Cardiovascular Science,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCARSC1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': 'Yes, costs vary'}",208
70,Cell Biology,No Program Code,Under review,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=7,Biological Sciences,Science & Engineering,Not applicable,7
71,Celtic Studies,PRMSCCLTST1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCLTST1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",248
72,Celtic Studies and Scottish Studies,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCLTSS1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1070
73,Chemistry,No Program Code,"PhD, MScR",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDCHEMY1F,Chemistry,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",16
74,Child Life and Health,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDMEDRA2F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£29,700', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",209
75,Chinese,PRMSCCHNSE1F,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCCHNSE1F,"Literatures, Languages & Cultures","Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",249
