,Program,Program_Code,Degrees,Mode_of_study,Link,School,College,Tution fees,ID
165,Education,PTMSCEDCAP1F,"MSc, PgCert, PgDip",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEDCAP1F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£13,000', 'Rest of UK': '£13,000', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",98
166,Education,No Program Code,PhD,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRPHDEDUCD2F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': 'Home fees have still to be agreed', 'Rest of UK': 'Home fees have still to be agreed', 'International/EU': '£24,800', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1047
167,Education,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCEDUCD2F,Education and Sport (Moray House),"Arts, Humanities & Social Sciences","{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£27,100', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",1046
168,Education and Sport,No Program Code,Programme closed,Offline,https://www.ed.ac.uk/studying/postgraduate/degrees/index.php?r=site/view&edition=2023&id=328,Education and Sport (Moray House),"Arts, Humanities & Social Sciences",Not applicable,328
169,Education Futures,PTMSCEDUFU2U,"MSc, PgDip (ICL), PgCert",Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEDUFU2U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1061
170,Education Futures (Online Learning),PTMSCEDUFU1U,"MSc, PgDip (ICL), PgCert",Online,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCEDUFU1U,Edinburgh Futures Institute,"Arts, Humanities & Social Sciences",Not applicable,1062
171,Electrical Power Engineering,PTMSCELPOS1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCELPOS1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",937
172,Electronics,PTMSCELECT1F,MSc,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTMSCELECT1F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£15,200', 'Rest of UK': '£15,200', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",669
173,Endodontology,PTDCDENDOD1F,DClinDent,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PTDCDENDOD1F,Edinburgh Medical School: Clinical Sciences,Medicine & Veterinary Medicine,"{'Academic Session': '2023/4', 'Scotland': '£25,800', 'Rest of UK': '£25,800', 'International/EU': '£58,000', 'Online Distance Learning': '', 'Additional Programme Costs': '£0'}",967
174,Energy Systems,No Program Code,MScR,Offline,http://www.ed.ac.uk/studying/postgraduate/fees?programme_code=PRMSCENGEL2F,Engineering,Science & Engineering,"{'Academic Session': '2023/4', 'Scotland': '£10,400', 'Rest of UK': '£10,400', 'International/EU': '£33,300', 'Online Distance Learning': '', 'Additional Programme Costs': ''}",25
